Name,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs,Location
"ASTTEX 08 - D.Byrne",12.74,-37.119,Truth_Pelagic,0.477,33.24,0.202,55.1,0.103,24.13,0.057,50.65,0.04,113.08,0.009,248.22,0.011,112.29,0.006,221.83,Deep
"AWI_ANT15-1   acc_a",0,-59.04,Truth_Pelagic,0.032,9.94,0.027,200.37,0.016,24.42,0.009,213.65,0.072,355.35,0.09,345.9,0.024,353.84,0.021,334.59,Deep
"AWI_ANT7-2   acc_aw",7.082,-44.664,Truth_Pelagic,0.36,29.53,0.147,54.28,0.079,21.42,0.041,49.45,0.02,97.82,0.017,343.09,0.006,86.01,0.005,312.15,Deep
"BEMPEX PF     Aug86",-162.047,37.89,Truth_Pelagic,0.249,305.1,0.123,326.43,0.05,294.5,0.035,319.6,0.206,264.5,0.131,254,0.065,260.5,0.022,249.2,Deep
"DART 21419  SE Kuri",155.736,44.455,Truth_Pelagic,0.208,152.22,0.089,212.84,0.026,105.04,0.024,206.6,0.268,6.24,0.212,346.24,0.087,3.2,0.043,335.81,Deep
"DART 23228  Arabian",65.347,20.799,Truth_Pelagic,0.596,152.95,0.23,181.83,0.145,134.39,0.065,181.34,0.374,336.98,0.19,337.72,0.119,336.28,0.042,346.47,Deep
"DART 41420  North S",-67.325,23.49,Truth_Pelagic,0.245,4.26,0.043,28.06,0.059,343.09,0.012,33.29,0.077,206.04,0.061,207.99,0.024,206.15,0.012,198.9,Deep
"DART 43413  Off Mex",-99.853,11.065,Truth_Pelagic,0.327,228.34,0.028,15.84,0.074,188.28,0.004,65.29,0.072,141.24,0.065,156.27,0.025,139.05,0.016,153.26,Deep
"DART 46410  Gulf_Al",-143.786,57.635,Truth_Pelagic,1.018,282.17,0.337,313.71,0.212,257.59,0.091,306.81,0.462,265.86,0.286,250.75,0.145,262.54,0.051,243.29,Deep
"DART 55012  Austral",158.4,-15.799,Truth_Pelagic,0.158,282.34,0.098,265.92,0.046,284.03,0.026,259.69,0.22,35.4,0.11,10.86,0.065,31.42,0.019,351.67,Deep
"DART 55023  Coral S",153.58,-14.8,Truth_Pelagic,0.28,328.35,0.162,292.8,0.088,313.81,0.043,289.81,0.261,35.82,0.129,10.22,0.078,32.2,0.023,346.13,Deep
"DART_21414   (2006",178.281,48.938,Truth_Pelagic,0.148,51.4,0.013,313.01,0.051,11.37,0.005,307.19,0.318,322.73,0.229,306.37,0.101,319.55,0.043,296.82,Deep
"DART_21416   (2007",163.488,48.044,Truth_Pelagic,0.195,125.93,0.064,206.71,0.039,70.2,0.017,203,0.299,346.06,0.222,327.92,0.096,343.15,0.043,318.37,Deep
"DART_44401   (2007",-50,37.562,Truth_Pelagic,0.291,354.93,0.092,26.46,0.061,335.97,0.026,24.32,0.04,159.49,0.029,178.56,0.012,159.3,0.006,174.66,Deep
"DART_44402   (2007",-70.594,39.487,Truth_Pelagic,0.423,350.79,0.086,16.41,0.101,331.32,0.022,15.73,0.088,176.91,0.067,181.89,0.027,176.41,0.014,172.96,Deep
"DART_46402   (2007",-164.011,51.069,Truth_Pelagic,0.439,322.38,0.157,341.85,0.099,302.4,0.043,333.98,0.38,286.22,0.248,271.07,0.12,282.93,0.046,262.79,Deep
