Station,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs,Location
"Nuku'alofa",-175.166700,-21.133300,GESLA,0.514000,197.785995,0.058000,226.686005,0.125000,171.104996,0.015000,214.184998,0.066000,50.863998,0.036000,37.772999,0.020000,46.265999,0.006000,21.481001,Deep
"Pago bay, guam",144.799527,13.426769,GESLA,0.131000,277.425995,0.025000,270.432007,0.030000,257.273010,0.006000,272.164001,0.143000,62.762001,0.103000,42.349998,0.045000,64.747002,0.018000,32.750999,Deep
"Palmyra island",-162.088300,5.883300,GESLA,0.298000,97.549004,0.110000,118.593002,0.054000,97.455002,0.029000,108.514000,0.080000,204.662994,0.037000,188.352005,0.025000,199.554993,0.005000,164.669998,Deep
"Papeete-b",-149.566700,-17.525000,GESLA,0.064000,307.303009,0.071000,319.638000,0.008000,267.970001,0.021000,317.457001,0.006000,291.217010,0.015000,87.827003,0.002000,301.210999,0.004000,76.541000,Deep
"Pari",106.620777,-5.862018,GESLA,0.019000,85.945000,0.034000,41.145000,0.009000,54.882999,0.026000,18.025000,0.216000,18.673000,0.123000,5.752000,0.117000,16.496000,0.032000,1.690000,Deep
"Pemba-c",40.487730,-12.969126,GESLA,1.136000,30.274000,0.588000,71.019997,0.199000,9.014000,0.165000,68.813004,0.126000,0.165000,0.087000,4.804000,0.038000,359.360992,0.018000,353.200989,Deep
"Penang",100.349704,5.416958,GESLA,0.616000,152.772003,0.365000,186.714996,0.117000,150.470001,0.100000,181.798004,0.197000,236.951996,0.051000,178.270996,0.064000,240.016998,0.011000,132.313004,Deep
"Penrhyn",-158.053300,-8.976700,GESLA,0.094000,150.757004,0.022000,126.722000,0.022000,172.485001,0.007000,109.528999,0.027000,220.304993,0.013000,177.106003,0.009000,224.050995,0.002000,129.873001,Deep
"Pohnpei-b",158.198443,6.982909,GESLA,0.275000,124.581001,0.194000,146.561996,0.049000,132.005005,0.056000,142.681000,0.160000,62.213001,0.098000,41.262001,0.049000,60.544998,0.018000,29.275999,Deep
"Port angeles, wa",-123.440000,48.125000,GESLA,0.518000,307.044006,0.146000,326.539001,0.118000,279.886993,0.029000,332.722992,0.668000,261.589996,0.392000,241.442993,0.209000,259.319000,0.067000,232.335007,Deep
"Port kembla",150.911507,-34.470381,GESLA,0.490000,307.282990,0.119000,320.085999,0.109000,298.158997,0.035000,308.790009,0.165000,328.308990,0.105000,294.660004,0.051000,322.889008,0.024000,271.960999,Deep
"Port stanvac",138.466775,-35.106975,GESLA,0.434000,188.078003,0.428000,246.766998,0.026000,286.800995,0.123000,245.085007,0.244000,264.567993,0.167000,247.824005,0.071000,260.445007,0.038000,235.455002,Deep
"Portland,s.aus.",141.621672,-38.343870,GESLA,0.129000,44.868000,0.140000,111.702003,0.009000,276.776001,0.039000,111.295998,0.180000,253.934998,0.131000,237.022003,0.056000,249.431000,0.031000,224.606995,Deep
"Pt. la rue",55.528042,-4.671999,GESLA,0.398000,14.027000,0.178000,52.667000,0.083000,350.147003,0.048000,49.452999,0.182000,0.190000,0.104000,5.317000,0.055000,359.292999,0.023000,0.591000,Deep
"Puerto madero",-92.433300,14.716700,GESLA,0.607000,241.804001,0.108000,323.820007,0.131000,201.613998,0.024000,316.066986,0.099000,106.449997,0.064000,128.612000,0.029000,104.802002,0.015000,139.518997,Deep
"Puerto princesa",118.731540,9.728598,GESLA,0.296000,71.444000,0.162000,103.067001,0.047000,55.532001,0.050000,108.700996,0.342000,200.097000,0.302000,163.177002,0.116000,199.423004,0.059000,148.457001,Deep
