Station,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs,Location
"DART_46402   (2007",-164.011000,51.069000,Truth_Pelagic,0.439000,322.380005,0.157000,341.850006,0.099000,302.399994,0.043000,333.980011,0.380000,286.220001,0.248000,271.070007,0.120000,282.929993,0.046000,262.790009,Deep
"DART_46404   (2006",-128.778000,45.859000,Truth_Pelagic,0.809000,235.660004,0.227000,265.130005,0.166000,209.899994,0.060000,256.899994,0.407000,240.080002,0.251000,224.910004,0.127000,236.630005,0.045000,216.369995,Deep
"DART_46407   (2008",-128.900000,42.604000,Truth_Pelagic,0.666000,227.039993,0.171000,255.320007,0.137000,200.539993,0.045000,247.110001,0.381000,235.500000,0.235000,220.389999,0.120000,231.649994,0.042000,212.759995,Deep
"DART_46408   (2006",-169.871000,49.626000,Truth_Pelagic,0.293000,340.269989,0.103000,346.309998,0.074000,321.869995,0.028000,337.920013,0.356000,296.630005,0.239000,281.250000,0.112000,293.489990,0.045000,272.670013,Deep
"DART_46411   (2005",-127.013000,39.331000,Truth_Pelagic,0.539000,209.559998,0.121000,227.220001,0.114000,181.729996,0.033000,217.539993,0.370000,228.610001,0.230000,213.740005,0.116000,224.729996,0.042000,204.639999,Deep
"DART_46419   (2006",-129.617000,48.762000,Truth_Pelagic,0.913000,243.729996,0.267000,273.350006,0.187000,218.500000,0.071000,265.600006,0.427000,244.899994,0.262000,229.429993,0.134000,241.470001,0.048000,222.259995,Deep
"DART_51425   (2008",-176.245000,-9.493000,Truth_Pelagic,0.514000,155.740005,0.192000,154.229996,0.127000,149.020004,0.052000,148.039993,0.061000,63.720001,0.040000,46.090000,0.019000,58.950001,0.008000,32.930000,Deep
"DART_51426   (2008",-168.098000,-22.993000,Truth_Pelagic,0.401000,201.699997,0.058000,278.109985,0.098000,174.169998,0.014000,276.290009,0.041000,58.790001,0.028000,58.810001,0.013000,52.419998,0.005000,55.779999,Deep
"DART_52401   (2007",155.766000,19.286000,Truth_Pelagic,0.129000,123.129997,0.083000,159.160004,0.018000,108.980003,0.024000,152.220001,0.121000,53.160000,0.087000,26.870001,0.038000,51.279999,0.018000,15.510000,Deep
"DART_52402   (2006",154.584000,11.569000,Truth_Pelagic,0.145000,120.519997,0.118000,147.279999,0.021000,130.399994,0.033000,140.940002,0.153000,61.660000,0.099000,38.900002,0.048000,60.459999,0.020000,27.600000,Deep
"DART_52403   (2006",145.597000,4.033000,Truth_Pelagic,0.157000,291.089996,0.005000,194.910004,0.044000,261.160004,0.002000,123.820000,0.210000,65.349998,0.132000,49.169998,0.066000,64.589996,0.026000,40.470001,Deep
"DART_52404   (2006",132.223000,20.949000,Truth_Pelagic,0.497000,288.529999,0.212000,313.850006,0.095000,277.709991,0.058000,308.679993,0.171000,73.230003,0.131000,56.799999,0.055000,71.519997,0.028000,44.459999,Deep
"DART_52405   (2006",132.333000,12.881000,Truth_Pelagic,0.520000,290.559998,0.217000,318.399994,0.099000,276.859985,0.059000,314.190002,0.180000,76.349998,0.125000,62.090000,0.058000,74.930000,0.026000,53.549999,Deep
"DART_52406   (2008",165.081000,-5.332000,Truth_Pelagic,0.501000,145.429993,0.277000,154.479996,0.104000,145.240005,0.077000,148.639999,0.157000,54.580002,0.090000,34.950001,0.047000,51.889999,0.017000,24.910000,Deep
"DART_54401   (2008",-172.985000,-33.005000,Truth_Pelagic,0.491000,200.009995,0.082000,283.600006,0.107000,170.619995,0.019000,280.399994,0.042000,35.150002,0.020000,51.599998,0.012000,30.680000,0.003000,61.840000,Deep
"DART_55015   (2008",160.562000,-46.922000,Truth_Pelagic,0.504000,348.679993,0.117000,15.470000,0.118000,333.209991,0.032000,4.330000,0.050000,278.000000,0.051000,242.990005,0.016000,271.230011,0.014000,222.750000,Deep
"DART_56001   (2009",110.004000,-13.961000,Truth_Pelagic,0.469000,34.290001,0.249000,94.370003,0.087000,3.130000,0.069000,93.080002,0.202000,163.990005,0.127000,155.580002,0.062000,161.630005,0.029000,142.429993,Deep
"DART_56003   (2009",117.989000,-15.021000,Truth_Pelagic,0.807000,54.020000,0.450000,110.379997,0.140000,25.709999,0.127000,108.559998,0.227000,168.289993,0.142000,158.389999,0.069000,165.750000,0.032000,145.429993,Deep
"DART_d125    (2002",-125.014000,-8.489000,Truth_Pelagic,0.585000,34.599998,0.057000,69.379997,0.132000,8.730000,0.013000,54.480000,0.053000,251.380005,0.029000,210.300003,0.016000,248.110001,0.006000,177.539993,Deep
"DART_d157    (2002",-156.941000,52.650000,Truth_Pelagic,0.636000,304.829987,0.222000,332.049988,0.138000,283.019989,0.061000,326.019989,0.405000,276.880005,0.259000,261.619995,0.128000,273.399994,0.046000,256.149994,Deep
"GLOUP 000095 ck2.",53.472000,-46.871000,Truth_Pelagic,0.143000,152.830002,0.039000,189.339996,0.033000,134.149994,0.010000,184.410004,0.025000,151.570007,0.023000,279.959991,0.006000,154.220001,0.009000,260.959991,Deep
"GLOUP 000139 id2.",66.828000,-28.320000,Truth_Pelagic,0.407000,237.039993,0.242000,271.100006,0.070000,231.020004,0.070000,266.970001,0.080000,121.250000,0.032000,112.150002,0.026000,117.790001,0.004000,116.820000,Deep
"GLOUP 000182 amst",77.583000,-37.901000,Truth_Pelagic,0.417000,228.990005,0.228000,271.970001,0.077000,212.779999,0.064000,268.730011,0.076000,146.190002,0.036000,165.990005,0.023000,147.160004,0.009000,180.020004,Deep
"HOME PN1     Guiles",-163.749000,28.692000,Truth_Pelagic,0.117000,337.100006,0.072000,341.440002,0.024000,333.899994,0.021000,333.700012,0.145000,247.899994,0.086000,241.300003,0.045000,244.600006,0.015000,242.300003,Deep
"HOME PN2     Apr200",-161.945000,26.875000,Truth_Pelagic,0.123000,346.000000,0.074000,350.019989,0.024000,343.700012,0.022000,342.399994,0.156000,242.699997,0.090000,234.800003,0.048000,239.300003,0.015000,235.500000,Deep
"HOME PN3     Apr200",-164.322000,26.822000,Truth_Pelagic,0.113000,356.899994,0.062000,351.869995,0.024000,352.799988,0.018000,342.399994,0.144000,243.699997,0.084000,238.100006,0.045000,240.800003,0.014000,240.600006,Deep
"HOME PN5 Apr200",-156.694000,25.401000,Truth_Pelagic,0.145000,347.799988,0.084000,0.050000,0.027000,345.700012,0.025000,353.399994,0.173000,236.800003,0.099000,226.000000,0.054000,233.600006,0.016000,224.199997,Deep
"HOME PN6     Apr200",-153.082000,23.843000,Truth_Pelagic,0.166000,2.300000,0.090000,12.280000,0.033000,359.799988,0.026000,5.100000,0.190000,233.000000,0.107000,220.899994,0.058000,229.300003,0.017000,216.899994,Deep
"HOME PS1     Apr200",-161.137000,16.429000,Truth_Pelagic,0.214000,68.900002,0.071000,83.540001,0.040000,61.599998,0.019000,71.000000,0.119000,222.800003,0.062000,213.800003,0.037000,219.199997,0.009000,213.300003,Deep
"HOME PS4 Apr200",-158.994572,13.742515,Truth_Pelagic,0.230000,59.900002,0.077000,72.010002,0.044000,51.099998,0.021000,59.500000,0.139000,223.600006,0.074000,213.000000,0.043000,220.399994,0.011000,210.600006,Deep
"HOME PS5     Apr200",-154.496000,17.175000,Truth_Pelagic,0.243000,44.299999,0.090000,54.380001,0.048000,34.599998,0.025000,44.500000,0.150000,225.199997,0.082000,212.000000,0.046000,222.000000,0.013000,208.000000,Deep
"HOME PS6     Apr200",-151.669000,20.575000,Truth_Pelagic,0.201000,25.500000,0.091000,33.540001,0.042000,18.299999,0.026000,25.700001,0.174000,229.000000,0.098000,215.399994,0.054000,225.500000,0.016000,211.600006,Deep
"IAPSO 2.1.17    56",-144.367000,56.133000,Truth_Pelagic,0.955000,283.000000,0.311000,315.260010,0.198000,258.000000,0.079000,307.000000,0.434000,266.000000,0.270000,250.000000,0.137000,262.000000,0.050000,242.000000,Deep
"IAPSO 2.1.52    53",-154.283000,53.417000,Truth_Pelagic,0.718000,298.000000,0.247000,326.440002,0.148000,275.000000,0.067000,319.000000,0.417000,273.000000,0.264000,258.000000,0.130000,270.000000,0.048000,251.000000,Deep
"IAPSO 2.2.9 33",137.583000,33.767000,Truth_Pelagic,0.412000,255.000000,0.189000,279.040009,0.071000,250.000000,0.053000,275.000000,0.213000,47.000000,0.162000,28.000000,0.068000,47.000000,0.033000,19.000000,Deep
"IAPSO 2.3.6      2",164.417000,-2.000000,Truth_Pelagic,0.517000,139.000000,0.304000,151.460007,0.108000,139.000000,0.086000,146.000000,0.155000,58.000000,0.091000,37.000000,0.048000,55.000000,0.017000,19.000000,Deep
"IAPSO 4.1.4     44",146.217000,-44.117000,Truth_Pelagic,0.120000,353.000000,0.060000,116.029999,0.037000,306.000000,0.015000,122.000000,0.186000,275.000000,0.129000,254.000000,0.059000,270.000000,0.030000,236.000000,Deep
"KESS_b1  2004-2006",144.570000,37.110000,Truth_Pelagic,0.250000,192.339996,0.124000,230.550003,0.026000,180.100006,0.035000,224.089996,0.212000,28.120001,0.171000,10.050000,0.068000,26.170000,0.035000,359.940002,Deep
"KESS_b3  2004-2006",146.460000,37.100000,Truth_Pelagic,0.226000,188.279999,0.115000,229.190002,0.021000,171.869995,0.032000,222.240005,0.203000,26.410000,0.165000,7.900000,0.066000,24.010000,0.034000,358.359985,Deep
"KESS_c6  2004-2006",148.850000,36.350000,Truth_Pelagic,0.192000,183.770004,0.102000,227.990005,0.015000,160.559998,0.029000,221.710007,0.187000,24.459999,0.152000,5.390000,0.060000,22.340000,0.031000,355.829987,Deep
"KESS_d4 2004-2006",146.450000,35.590000,Truth_Pelagic,0.209000,194.270004,0.110000,233.460007,0.018000,184.610001,0.031000,227.139999,0.194000,28.730000,0.157000,9.930000,0.062000,26.719999,0.032000,0.100000,Deep
"KESS_f3 2004-2006",145.500000,34.010000,Truth_Pelagic,0.205000,204.630005,0.110000,240.279999,0.020000,205.490005,0.031000,233.770004,0.189000,32.990002,0.152000,13.960000,0.061000,31.049999,0.031000,3.980000,Deep
"KESS_h6  2004-2006",148.350000,32.370000,Truth_Pelagic,0.156000,198.660004,0.090000,237.320007,0.011000,203.360001,0.025000,230.759995,0.167000,31.740000,0.134000,11.690000,0.053000,29.760000,0.028000,1.700000,Deep
"KESS_i1  2004-2006",144.090000,31.490000,Truth_Pelagic,0.204000,223.539993,0.109000,252.990005,0.025000,232.970001,0.030000,246.490005,0.181000,40.259998,0.143000,21.139999,0.058000,38.419998,0.030000,11.020000,Deep
"URI DP111  Drake Pa",-61.046000,-61.111000,Truth_Pelagic,0.327000,273.130005,0.139000,343.660004,0.050000,229.039993,0.038000,342.089996,0.214000,76.400002,0.209000,54.000000,0.070000,72.959999,0.045000,41.320000,Deep
"59500 Penrith I.",149.900000,-21.000000,Truth_Shelf,1.516000,27.760000,0.566000,13.600000,0.384000,23.900000,0.148000,10.580000,0.370000,36.490002,0.184000,8.670000,0.105000,34.810001,0.037000,357.309998,Shelf
"59550 Bell Cay",151.250000,-21.817000,Truth_Shelf,1.127000,2.060000,0.456000,357.500000,0.207000,357.500000,0.133000,351.579987,0.308000,17.290001,0.162000,351.769989,0.092000,15.510000,0.043000,343.709991,Shelf
"59620 High Peak I.",150.683000,-21.950000,Truth_Shelf,1.496000,8.160000,0.563000,4.500000,0.392000,2.800000,0.166000,0.680000,0.348000,23.090000,0.169000,354.369995,0.096000,25.809999,0.051000,340.809998,Shelf
"59700 Heron I.",151.917000,-23.450000,Truth_Shelf,0.829000,322.260010,0.289000,318.600006,0.182000,302.899994,0.088000,312.679993,0.251000,8.890000,0.130000,336.670013,0.072000,7.610000,0.024000,303.309998,Shelf
"60585 Hogan I.",146.977764,-39.215936,Truth_Shelf,0.671000,28.660000,0.112000,209.899994,0.194000,358.700012,0.022000,221.679993,0.212000,295.589996,0.138000,277.269989,0.063000,291.410004,0.038000,252.910004,Shelf
"60617 Curtis I.",146.717000,-39.483000,Truth_Shelf,0.810000,32.360001,0.133000,201.899994,0.199000,353.200012,0.026000,213.679993,0.203000,296.390015,0.131000,271.570007,0.061000,292.209991,0.039000,245.610001,Shelf
"60875 Three Hummock",144.833000,-40.450000,Truth_Shelf,0.782000,62.160000,0.101000,172.800003,0.182000,37.700001,0.015000,181.380005,0.130000,301.290009,0.097000,269.769989,0.039000,299.809998,0.027000,268.910004,Shelf
"61937 Shelf Edge Mo",135.750000,-35.767000,Truth_Shelf,0.135000,71.150002,0.149000,109.699997,0.010000,156.619995,0.043000,111.419998,0.177000,244.110001,0.133000,227.839996,0.056000,240.089996,0.029000,215.309998,Shelf
"61960 Pearson I.",134.266742,-33.928727,Truth_Shelf,0.202000,77.750000,0.232000,110.400002,0.026000,156.720001,0.075000,105.820000,0.161000,235.309998,0.140000,223.339996,0.054000,229.389999,0.035000,212.809998,Shelf
"62010 St Francis I.",133.317000,-32.500000,Truth_Shelf,0.246000,75.449997,0.313000,109.300003,0.035000,231.020004,0.101000,105.519997,0.183000,236.110001,0.120000,224.339996,0.062000,229.389999,0.052000,245.710007,Shelf
"62501 North West I.",115.512408,-20.352958,Truth_Shelf,0.656000,67.230003,0.369000,127.599998,0.112000,49.480000,0.098000,127.839996,0.199000,170.570007,0.131000,164.160004,0.064000,168.830002,0.035000,166.710007,Shelf
"62610 Bedout I.",119.102403,-19.601455,Truth_Shelf,1.626000,67.830002,1.026000,129.100006,0.279000,40.980000,0.289000,127.139999,0.252000,189.369995,0.107000,157.460007,0.073000,187.929993,nan,nan,Shelf
"62990 North Maret I",124.983000,-14.400000,Truth_Shelf,1.896000,68.430000,1.229000,124.000000,0.295000,54.680000,0.354000,122.339996,0.324000,182.270004,0.188000,174.860001,0.094000,183.929993,0.043000,171.309998,Shelf
"63022 Heywood Shoal",124.050000,-13.467000,Truth_Shelf,1.506000,63.630001,0.946000,121.500000,0.259000,39.380001,0.273000,119.940002,0.297000,175.470001,0.236000,159.660004,0.086000,176.929993,0.070000,152.210007,Shelf
"63023 Pee Shoal",124.833000,-11.767000,Truth_Shelf,0.907000,79.029999,0.515000,122.500000,0.179000,63.180000,0.148000,120.839996,0.344000,182.470001,0.202000,167.759995,0.100000,183.929993,0.052000,175.110001,Shelf
"63028 Van Cloon Sho",126.417000,-12.650000,Truth_Shelf,0.556000,76.029999,0.376000,122.300003,0.071000,62.180000,0.106000,121.440002,0.406000,184.970001,0.228000,176.559998,0.113000,184.729996,0.047000,159.309998,Shelf
"63040 Lesueur I.",127.283000,-13.833000,Truth_Shelf,0.391000,305.730011,0.063000,3.400000,0.075000,290.579987,0.018000,1.840000,0.567000,202.669998,0.321000,198.860001,0.152000,205.429993,0.039000,199.610001,Shelf
"63107 Calder Shoal",129.067000,-10.850000,Truth_Shelf,0.634000,165.850006,0.291000,222.300003,0.119000,148.320007,0.082000,225.419998,0.434000,188.509995,0.234000,174.839996,0.124000,187.990005,0.048000,156.809998,Shelf
"63177 Cape Scott (o",129.533000,-13.417000,Truth_Shelf,1.433000,245.449997,0.685000,292.399994,0.224000,220.720001,0.192000,290.119995,0.526000,192.410004,0.329000,182.539993,0.147000,194.990005,0.061000,164.509995,Shelf
"63447 Cape Wessel w",136.017000,-10.917000,Truth_Shelf,0.988000,297.450012,0.333000,4.700000,0.225000,278.920013,0.106000,351.019989,0.348000,287.410004,0.391000,251.940002,0.086000,276.790009,0.096000,213.309998,Shelf
"63483 Truant I.",136.817000,-11.650000,Truth_Shelf,0.848000,330.850006,0.265000,44.299999,0.180000,300.720001,0.088000,24.620001,0.325000,313.709991,0.254000,252.339996,0.077000,309.690002,0.045000,217.910004,Shelf
"63587 Nassau R. (OF",140.200000,-15.400000,Truth_Shelf,0.041000,140.759995,0.040000,280.899994,0.003000,198.199997,nan,nan,0.513000,153.490005,0.364000,90.269997,0.144000,156.110001,0.073000,53.709999,Shelf
"'CRAIG, AK'",-133.142000,55.488300,NOAA,1.135000,269.299988,0.335000,301.200012,0.237000,243.000000,0.091000,303.799988,0.442000,263.200012,0.272000,247.000000,0.146000,262.000000,0.023000,356.200012,Deep
"'Chirikof Island, AK'",-155.740000,55.808300,NOAA,0.903000,302.899994,0.310000,335.399994,0.179000,280.500000,0.084000,338.000000,0.440000,277.200012,0.300000,260.399994,0.146000,275.899994,0.056000,257.600006,Deep
"'North Foreland, AK'",-151.163000,61.043300,NOAA,2.480000,75.099998,0.740000,108.900002,0.448000,39.700001,0.201000,111.599998,0.592000,327.299988,0.362000,313.399994,0.196000,326.200012,0.078000,317.100006,Deep
"'SEAL ISLAND, AK'",-147.410000,60.425000,NOAA,1.346000,288.799988,0.455000,319.600006,0.279000,264.399994,0.124000,322.100006,0.488000,273.200012,0.293000,258.000000,0.161000,272.000000,0.060000,249.300003,Deep
"'Saipan,'",145.737005,15.227156,NOAA,0.188000,296.200012,0.043000,305.299988,0.046000,278.899994,0.015000,300.700012,0.167000,64.900002,0.113000,45.599998,0.061000,66.699997,0.025000,33.299999,Deep
"'Sitkalidak Island GPS Tide Buoy, AK'",-153.252200,56.965700,NOAA,0.908000,298.700012,0.328000,329.200012,0.180000,274.600006,0.089000,331.700012,0.335000,272.200012,0.227000,258.100006,0.111000,271.200012,0.043000,257.600006,Deep
"'Trident Bay, Akun Island, AK'",-165.527000,54.140000,NOAA,0.252000,340.399994,0.122000,336.399994,0.076000,335.399994,0.033000,336.100006,0.327000,300.100006,0.238000,285.500000,0.108000,299.000000,0.048000,264.399994,Deep
"'Wake Island, Pacific Ocean,'",166.613394,19.288715,NOAA,0.288000,115.099998,0.146000,150.100006,0.048000,106.400002,0.042000,144.000000,0.063000,45.099998,0.051000,14.700000,0.020000,43.599998,0.013000,3.900000,Deep
"FORT POI   WOCE fas",-122.465000,37.807000,Truth_Coast,0.580000,210.039993,0.136000,217.250000,0.124000,184.130005,0.041000,208.339996,0.371000,226.289993,0.230000,209.699997,0.116000,224.039993,0.040000,202.369995,NS
"BEMPEX PC Guile",-169.343000,40.682000,Truth_Pelagic,0.189000,321.899994,0.098000,326.739990,0.049000,313.799988,0.028000,319.399994,0.202000,283.500000,0.137000,272.299988,0.064000,279.600006,0.024000,268.399994,Deep
"BEMPEX PD Aug86",-156.012000,40.465000,Truth_Pelagic,0.340000,290.399994,0.144000,321.290009,0.064000,275.700012,0.041000,314.700012,0.239000,260.500000,0.150000,247.899994,0.076000,256.899994,0.026000,242.399994,Deep
"BEMPEX PH     Aug86",-160.068000,43.338000,Truth_Pelagic,0.351000,299.899994,0.149000,324.500000,0.073000,285.899994,0.042000,317.600006,0.259000,271.100006,0.166000,258.000000,0.082000,267.200012,0.029000,252.399994,Deep
"DART 23227  Bay_Ben",88.792000,6.255000,Truth_Pelagic,0.148000,44.459999,0.064000,63.150002,0.034000,41.439999,0.017000,61.860001,0.064000,214.770004,0.026000,182.039993,0.018000,216.020004,0.007000,90.500000,Deep
"DART 32413  Equator",-93.500000,-7.397000,Truth_Pelagic,0.326000,255.309998,0.135000,275.720001,0.072000,235.589996,0.037000,270.510010,0.095000,27.680000,0.032000,346.980011,0.029000,26.350000,0.003000,294.739990,Deep
"DART 46409  Gulf_Al",-148.427109,55.300000,Truth_Pelagic,0.883000,288.260010,0.297000,319.480011,0.185000,264.200012,0.081000,312.559998,0.439000,268.309998,0.275000,253.350006,0.138000,265.269989,0.049000,246.300003,Deep
"DART 46412  San Die",-120.699000,32.247000,Truth_Pelagic,0.423000,150.869995,0.160000,141.240005,0.102000,128.880005,0.047000,133.699997,0.328000,211.960007,0.208000,197.009995,0.104000,208.369995,0.038000,189.039993,Deep
"DART_21413 (2006",152.118000,30.550000,Truth_Pelagic,0.112000,178.339996,0.070000,224.220001,0.008000,141.919998,0.020000,216.669998,0.142000,30.299999,0.115000,8.800000,0.045000,28.270000,0.024000,358.130005,Deep
"DART_21415   (2007",171.717184,50.196995,Truth_Pelagic,0.176000,94.300003,0.033000,204.479996,0.047000,39.990002,0.009000,206.449997,0.329000,335.200012,0.241000,317.899994,0.106000,332.059998,0.047000,308.690002,Deep
"DART_21418 (2007",148.694000,38.711000,Truth_Pelagic,0.217000,178.029999,0.109000,223.479996,0.025000,147.610001,0.031000,217.669998,0.205000,21.709999,0.167000,3.290000,0.065000,21.100000,0.035000,352.260010,Deep
"60610 Rabbit I.",146.517000,-38.917000,Truth_Shelf,0.697000,43.160000,0.169000,216.600006,0.165000,7.700000,0.034000,228.380005,0.238000,297.989990,0.158000,273.769989,0.071000,293.709991,0.038000,251.910004,Shelf
"61945 Greenly I.",134.783000,-34.650000,Truth_Shelf,0.157000,73.449997,0.190000,110.500000,0.011000,169.520004,0.056000,109.220001,0.165000,238.210007,0.126000,223.740005,0.049000,235.190002,0.033000,208.509995,Shelf
"IAPSO 2.1.18 60",-171.083000,60.433000,Truth_Shelf,0.205000,171.000000,0.022000,249.000000,0.069000,121.000000,0.005000,235.000000,0.181000,326.000000,0.098000,310.000000,0.058000,323.000000,0.018000,302.000000,Shelf
"IAPSO 2.1.19    58",-168.233000,58.617000,Truth_Shelf,0.334000,151.000000,0.019000,249.000000,0.111000,98.000000,0.004000,240.000000,0.124000,303.000000,0.063000,305.000000,0.039000,300.000000,0.013000,312.000000,Shelf
"IAPSO 2.1.20    57",-163.367000,57.067000,Truth_Shelf,0.452000,157.000000,0.005000,343.000000,0.147000,102.000000,0.002000,10.000000,0.283000,13.000000,0.190000,358.000000,0.093000,11.000000,0.034000,348.000000,Shelf
"IAPSO 2.1.32    59",-175.133000,59.067000,Truth_Shelf,0.230000,106.000000,0.019000,196.000000,0.060000,61.000000,0.005000,251.000000,0.348000,334.000000,0.232000,318.000000,0.115000,333.000000,0.042000,313.000000,Shelf
"IAPSO 2.1.33    60",-178.700000,60.733000,Truth_Shelf,0.218000,87.000000,0.026000,164.000000,0.053000,43.000000,0.005000,189.000000,0.384000,334.000000,0.259000,317.000000,0.127000,333.000000,0.049000,311.000000,Shelf
"IAPSO 2.1.4     59",-141.983000,59.267000,Truth_Shelf,1.060000,281.500000,0.351000,312.000000,0.219000,258.200012,0.090000,313.000000,0.483000,264.500000,0.290000,251.000000,0.158000,263.500000,0.049000,247.699997,Shelf
"IAPSO 2.1.7     55",-165.817000,55.500000,Truth_Shelf,0.355000,106.000000,0.018000,327.000000,0.132000,52.000000,0.005000,321.000000,0.344000,325.000000,0.238000,311.000000,0.114000,322.000000,0.043000,305.000000,Shelf
"IAPSO 2.1.8     55",-165.167000,55.017000,Truth_Shelf,0.419000,89.000000,0.031000,5.000000,0.158000,40.000000,0.009000,349.000000,0.409000,320.000000,0.264000,304.000000,0.133000,317.000000,0.052000,293.000000,Shelf
"Platform Harvest  O",-120.682000,34.469000,Truth_Shelf,0.476000,163.300003,0.155000,157.369995,0.111000,139.449997,0.045000,148.639999,0.349000,214.179993,0.220000,199.080002,0.111000,210.839996,0.040000,191.199997,Shelf
"South China ASIAEX",117.283000,21.614000,Truth_Shelf,0.130000,5.300000,0.052000,19.600000,nan,nan,nan,nan,0.254000,170.600006,0.237000,127.400002,nan,nan,nan,nan,Shelf
"Yellow Sea NRL-A",125.251000,33.267000,Truth_Shelf,0.647000,71.500000,0.248000,86.099998,0.137000,55.200001,0.068000,95.000000,0.205000,86.199997,0.145000,65.500000,0.068000,77.199997,nan,nan,Shelf
"'Cape Sarichef, Unimak Island, AK'",-164.928000,54.600000,NOAA,0.410000,65.199997,0.027000,5.100000,0.135000,24.500000,0.007000,0.200000,0.398000,308.700012,0.282000,296.100006,0.132000,307.799988,0.060000,266.100006,Deep
"IAPSO 2.1.21    55",-163.017000,55.700000,Truth_Shelf,0.714000,134.000000,0.014000,45.000000,0.245000,81.000000,0.006000,28.000000,0.490000,335.000000,0.313000,318.000000,0.160000,332.000000,0.058000,307.000000,Shelf
"Roti, Savu Sea",122.682000,-10.815000,Truth_Shelf,0.840000,69.860001,0.453000,120.150002,0.148000,47.150002,0.128000,120.290001,0.267000,173.669998,0.167000,163.949997,0.081000,170.660004,0.038000,154.490005,Shelf
"South China ASIAEX",117.058000,22.186000,Truth_Shelf,0.119000,36.799999,0.042000,28.700001,nan,nan,nan,nan,0.251000,169.199997,0.242000,131.100006,nan,nan,nan,nan,Shelf
"Abashiri",144.287517,44.023158,GESLA,0.171000,163.222000,0.079000,207.363007,0.026000,138.451004,0.023000,201.856003,0.213000,53.660999,0.221000,31.958000,0.074000,50.935001,0.047000,17.287001,Deep
"Acajutla-a",-89.842055,13.578127,GESLA,0.746000,241.160004,0.151000,311.868988,0.162000,206.507996,0.037000,303.515991,0.098000,94.265999,0.055000,121.098999,0.031000,93.987000,0.013000,132.800003,Deep
"Alert bay,bc",-126.931000,50.587000,GESLA,1.276000,156.013000,0.408000,170.104996,0.261000,140.608002,0.110000,159.964996,0.517000,15.939000,0.311000,16.556000,0.163000,14.564000,0.053000,18.513000,Deep
"Apia-b",-171.750000,-13.816700,GESLA,0.390000,165.559006,0.095000,153.084000,0.106000,153.860992,0.026000,146.093994,0.042000,62.001999,0.032000,47.034000,0.013000,55.264000,0.006000,39.997002,Deep
"Arica",-70.333300,-18.466700,GESLA,0.330000,27.646000,0.094000,49.286999,0.072000,348.677002,0.031000,39.862000,0.151000,33.118000,0.084000,350.658997,0.045000,29.013000,0.014000,322.665985,Deep
"Ayukawa",141.503991,38.292708,GESLA,0.318000,191.272995,0.148000,226.559998,0.041000,176.850006,0.042000,220.897995,0.240000,28.016001,0.195000,11.209000,0.078000,25.862000,0.040000,1.027000,Deep
"Bahia los angeles",-113.550000,28.958300,GESLA,0.654000,261.237000,0.349000,269.063995,0.186000,250.289001,0.096000,265.911011,0.339000,185.302994,0.221000,173.322998,0.109000,182.216003,0.041000,166.029999,Deep
"Balikpapan",116.803691,-1.271505,GESLA,0.604000,284.186005,0.461000,334.714996,0.079000,266.174988,0.140000,331.549011,0.236000,162.742996,0.170000,140.149002,0.072000,157.860992,0.039000,136.434998,Deep
"Base prat-a",-59.633300,-62.483300,GESLA,0.439000,282.093994,0.243000,336.078003,0.058000,250.617996,0.069000,335.635010,0.276000,64.459000,0.288000,48.784000,0.091000,62.959999,0.066000,36.876999,Deep
"Booby island",141.916700,-10.600000,GESLA,0.718000,202.369003,0.140000,323.028992,0.169000,161.684998,0.048000,294.798004,0.696000,44.481998,0.429000,352.334015,0.182000,36.564999,0.080000,328.665009,Deep
"Broome",122.219296,-18.000898,GESLA,2.387000,65.898003,1.481000,125.834000,0.400000,40.243000,0.415000,123.718002,0.256000,171.867996,0.159000,160.850998,0.072000,173.514999,0.035000,153.718002,Deep
"Casey",110.490041,-66.276947,GESLA,0.289000,142.533005,0.165000,198.791000,0.071000,123.086998,0.044000,196.660004,0.261000,242.574005,0.261000,235.016998,0.085000,244.369003,0.061000,226.222000,Deep
"Chabahar",60.602957,25.298756,GESLA,0.665000,155.772003,0.257000,185.014008,0.164000,138.526001,0.069000,179.996002,0.397000,338.730988,0.206000,339.955994,0.122000,336.182007,0.043000,340.704987,Deep
"Christmas-b",-157.471700,1.981700,GESLA,0.264000,80.116997,0.085000,97.315002,0.042000,79.264000,0.023000,84.597000,0.082000,214.171005,0.038000,194.839996,0.025000,213.606995,0.006000,174.738007,Deep
"Cocos",96.891148,-12.116732,GESLA,0.308000,311.190002,0.113000,347.914001,0.070000,297.281006,0.031000,344.252014,0.147000,154.401993,0.090000,145.397995,0.045000,152.057007,0.019000,134.895996,Deep
"Colombo",79.834121,6.964313,GESLA,0.180000,245.565002,0.125000,288.356995,0.022000,234.117004,0.036000,285.084015,0.071000,309.839996,0.030000,340.348999,0.022000,314.087006,0.009000,3.212000,Deep
"Corinto",-87.116700,12.283300,GESLA,0.882000,245.651001,0.191000,313.511993,0.184000,212.654007,0.044000,307.691986,0.101000,90.183998,0.048000,115.498001,0.030000,88.525002,0.012000,134.567001,Deep
